date	Google Chrome	Internet Explorer	Firefox	Safari	Microsoft Edge	Opera	Mozilla	Other/Unknown
2016 May 30	52.89	14.39	17.67	8.53	4.86	1.59	0.07	0
2016 May 31	53.61	17.15	16.08	7.6	4.13	1.37	0.06	0
2016 Jun 1	53.58	16.65	16.01	7.99	4.29	1.42	0.06	0
2016 Jun 2	52.76	17.4	16.35	7.81	4.29	1.33	0.06	0
2016 Jun 3	52.44	16.96	16.52	7.71	4.6	1.69	0.08	0
2016 Jun 4	52.33	12.93	17.3	9.52	5.88	1.96	0.08	0
2016 Jun 5	52.38	12.56	17.42	9.66	5.76	2.14	0.08	0.01
2016 Jun 6	52.69	17.32	16.31	7.43	4.18	2.01	0.06	0
2016 Jun 7	52.95	17.47	16.28	7.65	4.05	1.55	0.05	0
2016 Jun 8	52.68	17.66	16.3	7.6	4.14	1.56	0.06	0
2016 Jun 9	52.3	18.02	16.25	7.85	4.14	1.38	0.07	0
2016 Jun 10	52.22	17.36	16.46	7.96	4.44	1.49	0.07	0
2016 Jun 11	52.06	13.19	17.21	9.98	5.78	1.69	0.09	0
2016 Jun 12	52.09	12.75	16.89	10.65	5.96	1.6	0.05	0
2016 Jun 13	53.18	16.87	16.21	8.15	4.39	1.15	0.05	0
2016 Jun 14	53.45	17.03	16.15	7.8	4.31	1.21	0.04	0
2016 Jun 15	53.4	18.12	16.51	6.69	3.84	1.4	0.04	0
